Potential (V)	Current (A)	
-0.000613293668720871	-0.000313453638227656	
-0.00122670631390065	-0.000205063828616403	
-0.00184011901728809	-0.0001577697112225	
-0.00245353160426021	-0.000135993570438586	
-0.00306694442406297	-0.000119934447866399	
-0.00368035701103508	-0.000108641514088959	
-0.00460047600790858	-9.91765627986752E-05	
-0.00490718241780996	-0.00014193142123986	
-0.0058273016475141	-0.000107445361209102	
-0.00705412682145834	-0.000102709818747826	
-0.0076675396412611	-9.91581546259113E-05	
-0.00858765840530396	-0.000100323639344424	
-0.00920107122510672	-9.25271669984795E-05	
-0.00950777716934681	-9.7201373137068E-05	
-0.0104278968647122	-9.02268657227978E-05	
-0.0107346028089523	-9.25701024243608E-05	
-0.0116547215729952	-9.31344475247897E-05	
-0.0119614284485579	-8.68592323968187E-05	
-0.0125748412683606	-8.48104318720289E-05	
-0.0141083728522062	-8.7190477643162E-05	
-0.0144150787964463	-8.48042982397601E-05	
-0.0150284916162491	-8.33014419185929E-05	
-0.0156419035047293	-8.63869063323364E-05	
-0.0165620241314173	-7.93633298599161E-05	
-0.0171754360198975	-8.17311010905541E-05	
-0.0177888479083776	-8.47674964461476E-05	
-0.0180955547839403	-7.76764427428134E-05	
-0.0193223804235458	-7.97007087385282E-05	
-0.019935792312026	-8.50435317261145E-05	
-0.020855912938714	-7.98663313616998E-05	
-0.0211626179516315	-8.70187213877216E-05	
-0.0220827367156744	-8.16022875369526E-05	
-0.0230028573423624	-7.91915736044757E-05	
-0.0239229761064053	-8.01116912043653E-05	
-0.0242296811193228	-8.22647707536817E-05	
-0.0245363879948854	-7.45725774322636E-05	
-0.0254565067589283	-8.68592323968187E-05	
-0.0260699205100536	-8.16268220660277E-05	
-0.0266833323985338	-7.76273736846633E-05	
-0.0276034511625767	-8.15654784673825E-05	
-0.0285235699266195	-7.74372165324166E-05	
-0.0294436905533075	-7.91793063399382E-05	
-0.0300571024417877	-8.36572216940112E-05	
-0.0303638093173504	-7.90198173490353E-05	
-0.0312839262187481	-7.7934077125974E-05	
-0.0322040468454361	-8.34915990708396E-05	
-0.0325107537209988	-7.81549097155221E-05	
-0.0334308706223965	-8.10502169770189E-05	
-0.0337375774979591	-8.06637617642991E-05	
-0.0346576981246471	-8.09029952506535E-05	
-0.0346576981246471	-7.80138216214255E-05	
-0.0364979356527328	-8.49515199661255E-05	
-0.0368046425282955	-7.67195233493112E-05	
-0.0374180562794209	-7.89891491876915E-05	
-0.0383381731808186	-7.9185439972207E-05	
-0.0389515869319439	-7.35665817046538E-05	
-0.0392582938075066	-7.61490446166135E-05	
-0.0401784107089043	-8.44669266371056E-05	
-0.0407918244600296	-7.51982588553801E-05	
-0.0417119450867176	-7.97620450612158E-05	
-0.0426320619881153	-8.16881656646729E-05	
-0.0432454757392406	-7.66213779570535E-05	
-0.0441655926406384	-8.10256751719862E-05	
-0.0447790063917637	-7.87131139077246E-05	
-0.045392420142889	-7.69832913647406E-05	
-0.0460058301687241	-8.2387457950972E-05	
-0.0466192439198494	-8.31112847663462E-05	
-0.0478460714221001	-7.7958611655049E-05	
-0.0481527745723724	-8.74481120263226E-05	
-0.0487661883234978	-8.12526413938031E-05	
-0.0493796020746231	-8.24549279059283E-05	
-0.0499930158257484	-8.40927386889234E-05	
-0.0506064258515835	-8.48595082061365E-05	
-0.0512198396027088	-7.97007087385282E-05	
-0.0521399602293968	-8.12587750260718E-05	
-0.0530600771307945	-7.87192475399934E-05	
-0.0533667840063572	-7.40450414014049E-05	
-0.0539801977574825	-8.0590158177074E-05	
-0.0552070215344429	-8.28352494863793E-05	
-0.0555137284100056	-7.83450668677688E-05	
-0.0564338490366936	-8.63194291014224E-05	
-0.0570472590625286	-8.53441015351564E-05	
-0.0576606728136539	-7.90566264186054E-05	
-0.0585807934403419	-8.71720767463557E-05	
-0.0588874965906143	-8.52398225106299E-05	
-0.060114324092865	-8.31296856631525E-05	
-0.0607277378439903	-8.77977581694722E-05	
-0.0610344409942627	-8.88221547938883E-05	
-0.0622612684965134	-8.35284008644521E-05	
-0.0625679716467857	-9.09752343432046E-05	
-0.0628746822476387	-8.7736414570827E-05	
-0.0641015097498894	-8.35038663353771E-05	
-0.0647149160504341	-8.846637501847E-05	
-0.0653283298015594	-8.57244231156074E-05	
-0.0659417435526848	-8.37185580166988E-05	
-0.0665551573038101	-9.00735176401213E-05	
-0.0671685710549355	-8.16820320324041E-05	
-0.0683953911066055	-8.6098603787832E-05	
-0.0687021017074585	-8.62274173414335E-05	
-0.0699289292097092	-8.28475167509168E-05	
-0.0702356323599815	-8.51784789119847E-05	
-0.0711557492613792	-8.80799270817079E-05	
-0.0714624598622322	-8.67672206368297E-05	
